atol    1e-9
length    3.0
m_N    2
m_end    10.0
m_start    0.1
mode    TE011
phi_N    1
phi_end    0.0
phi_start    0.0
r_N    10
r_end    1.5000001
r_start    0.0
radius    1.0
rtol    1e-6
z_N    30
z_end    -3.5
z_start    -3.001

m    r    phi    z    Re[j_r]    error_Re[j_r]    Im[j_r]    error_Im[j_r]    Re[j_phi]    error_Re[j_phi]    Im[j_phi]    error_Im[j_phi]    Re[j_z]    error_Re[j_z]    Im[j_z]    error_Im[j_z]  
------------------------------------------------------------------------------

0.10000000000000002  0  0  -3.001  2.051735430470289e-20  -7.513170050095862e-18  -9.413187671231516e-21  -9.301165886692404e-18  3.409505233772789e-20  -7.635877770699546e-18  -6.627330086944824e-20  -9.453098847226755e-18  -0  -0  -0  -0  
0.10000000000000002  0  0  -3.018206896551724  7.714094796558604e-21  -7.5706878580839e-18  -1.1979062044544619e-20  -8.837546613202943e-18  2.8845691096834e-20  -7.694331071319227e-18  -2.7017240035302407e-20  -8.981938560773331e-18  -0  -0  -0  -0  
0.10000000000000002  0  0  -3.0354137931034484  2.092152153910827e-20  -7.620404015403227e-18  -4.8341693875746784e-20  -8.381783237845879e-18  5.0706678291514054e-20  -7.744866733394392e-18  -6.515821763091839e-20  -8.518668853948585e-18  -0  -0  -0  -0  
0.10000000000000002  0  0  -3.052620689655172  4.5211418430351413e-20  -7.662278032565506e-18  -3.603618937045523e-20  -7.933615573803725e-18  -1.075829090741548e-20  -7.787436649728164e-18  -3.544155438287116e-20  -8.063191949526317e-18  -0  -0  -0  -0  
0.10000000000000002  0  0  -3.0698275862068964  6.039334233989336e-20  -7.696265708188511e-18  1.4437415308706855e-20  -7.492995251936262e-18  5.1156843506327323e-20  -7.821945139091751e-18  -3.145558325682953e-20  -7.615386140302836e-18  -0  -0  -0  -0  
0.10000000000000002  0  0  -3.0870344827586207  2.686827138775426e-20  -7.72231888678045e-18  -2.5010280374424926e-20  -7.059736623180936e-18  -5.973448337057755e-21  -7.848458127176003e-18  2.9552444348657777e-20  -7.175085443789035e-18  -0  -0  -0  -0  
0.10000000000000002  0  0  -3.104241379310345  4.1812229184302425e-20  -7.740397838309106e-18  3.48809734547104e-21  -6.633833378101322e-18  9.472116480355954e-20  -7.86682271418967e-18  6.698448159458346e-21  -6.742172117041466e-18  -0  -0  -0  -0  
0.10000000000000002  0  0  -3.1214482758620687  2.1492695377520085e-20  -7.75047512329667e-18  -1.6167506703923382e-20  -6.215126131241199e-18  3.8540003425492876e-20  -7.877063711625205e-18  -9.263788780203176e-21  -6.316654001161762e-18  -0  -0  -0  -0  
0.10000000000000002  0  0  -3.138655172413793  7.472183315726156e-21  -7.752479619520522e-18  -3.95224866337071e-21  -5.803555611191801e-18  7.445674435949278e-20  -7.879091676742519e-18  7.809856210521644e-20  -5.898412361662956e-18  -0  -0  -0  -0  
0.10000000000000002  0  0  -3.1558620689655172  2.6781855494524176e-20  -7.74640279262506e-18  9.199344887514782e-21  -5.3990904569575635e-18  9.616932803773123e-22  -7.8729287439772e-18  3.848081865818279e-20  -5.487302953922872e-18  -0  -0  -0  -0  
