atol    1e-9
length    1.0
m_N    2
m_end    9.90991
m_start    2.47748
mode    TE011
omega    4.954955e+00
phi_N    1
phi_end    0.0
phi_start    0.0
r_N    100
r_end    1.0000001
r_start    0.0
radius    1.0
rtol    1e-6
z_N    1
z_end    1e-4
z_start    1e-4

m    r    phi    z    Re[j_r]    error_Re[j_r]    Im[j_r]    error_Im[j_r]    Re[j_phi]    error_Re[j_phi]    Im[j_phi]    error_Im[j_phi]    Re[j_z]    error_Re[j_z]    Im[j_z]    error_Im[j_z]  
2.47748  0.10101011111111112  0  0.0001  5.796011977663101e-18  -2.5851495276781488e-15  -4.049859931541729e-17  -1.1841133799170032e-14  -0.07332972624923256  -1.1200266021484066e-08  0.23269443480400684  -1.821187905183494e-14  -0  -0  -0  -0  
2.47748  0.11111112222222223  0  0.0001  -1.779493121249393e-17  -2.7908564518269975e-15  -4.8566334089119914e-17  -1.1774703080690994e-14  -0.08094324579731371  -1.1456545728469554e-07  0.2547729845849253  -4.0330921670368176e-08  -0  -0  -0  -0  
2.47748  0.12121213333333333  0  0.0001  -2.4369004354589034e-17  -2.9958474682459153e-15  -4.354158535325316e-17  -1.1702033485219568e-14  -0.0886339115639114  -4.4214074016839066e-08  0.2765158210615113  -1.6329214717410877e-13  -0  -0  -0  -0  
2.47748  0.13131314444444445  0  0.0001  3.6762810164578505e-18  -3.199795684077949e-15  -2.6383088723848994e-17  -1.1623292138280197e-14  -0.09640738377563307  -1.1688917652739161e-08  0.2978944747494959  -3.6402678021966726e-13  -0  -0  -0  -0  
2.47748  0.14141415555555556  0  0.0001  -2.8656916942293996e-17  -3.402508026465364e-15  -3.5077269342855527e-17  -1.1538705807996868e-14  -0.10426897876638933  -4.157216120462144e-07  0.3188810020442898  -7.306899018927054e-13  -0  -0  -0  -0  
2.47748  0.15151516666666667  0  0.0001  -1.1655926697254392e-17  -3.604020327388148e-15  -4.931513692270083e-17  -1.1448008008257094e-14  -0.11222364422661069  -1.821497425088906e-08  0.33944802537658547  -1.3591942291190899e-12  -0  -0  -0  -0  
2.47748  0.1616161777777778  0  0.0001  -7.274605413909613e-17  -3.803785894463753e-15  -6.89476894591564e-17  -1.1351557041737727e-14  -0.12027593511993495  -1.773450511327204e-10  0.35956877250526686  -2.384301272661561e-12  -0  -0  -0  -0  
2.47748  0.1717171888888889  0  0.0001  -2.616123825343327e-17  -4.001542397972178e-15  -4.286811103682644e-17  -1.1249367733205973e-14  -0.12842999092155624  -3.5672528227138055e-07  0.3792171148880488  -3.990146620646036e-12  -0  -0  -0  -0  
2.47748  0.18181819999999999  0  0.0001  1.692602332427296e-17  -4.197400538898379e-15  -8.51284358213089e-18  -1.114163868036317e-14  -0.13668951156695022  -1.444544847896071e-07  0.3983676050716553  -6.422466773231338e-12  -0  -0  -0  -0  
2.47748  0.19191921111111113  0  0.0001  -5.44354483847934e-17  -4.3908934022535895e-15  -3.710188661376422e-17  -1.1028439604928535e-14  -0.14505774091437196  -2.583451234977645e-07  0.41699551304490823  -1.0002580641172882e-11  -0  -0  -0  -0  
