atol    1e-9
length    1.0
m_N    2
m_end    495.4955
m_start    4.954955
mode    TE011
omega    4.954955e+00
phi_N    1
phi_end    0.0
phi_start    0.0
r_N    100
r_end    1.0000001
r_start    0.0
radius    1.0
rtol    1e-6
z_N    1
z_end    1e-4
z_start    1e-4

m    r    phi    z    Re[j_r]    error_Re[j_r]    Im[j_r]    error_Im[j_r]    Re[j_phi]    error_Re[j_phi]    Im[j_phi]    error_Im[j_phi]    Re[j_z]    error_Re[j_z]    Im[j_z]    error_Im[j_z]  
------------------------------------------------------------------------------

4.954954999999999  0  0  0.0001  7.735773302969287e-16  -5.297582901702715e-14  0  0  3.7485305430071677e-16  -5.3841054667434437e-14  0  0  -0  -0  0  0  
4.954954999999999  0.010101011111111112  0  0.0001  7.760533175855553e-16  -5.297948498757526e-14  0  0  0.1900414677308937  -1.724404035890422e-08  0  0  -0  -0  0  0  
4.954954999999999  0.020202022222222223  0  0.0001  5.985561257531809e-16  -5.2982266759179876e-14  0  0  0.3799271820140888  -5.399726832458546e-09  0  0  -0  -0  0  0  
4.954954999999999  0.030303033333333333  0  0.0001  7.524968110241866e-16  -5.2984198855300235e-14  0  0  0.5695015862128023  -3.057240636463893e-07  0  0  -0  -0  0  0  
4.954954999999999  0.04040404444444445  0  0.0001  6.092695334532414e-16  -5.298529088814992e-14  0  0  0.758609515802861  -7.747750829958879e-08  0  0  -0  -0  0  0  
4.954954999999999  0.05050505555555556  0  0.0001  6.892928730150295e-16  -5.298561326318202e-14  0  0  0.9470964005126474  -3.315831449920567e-07  0  0  -0  -0  0  0  
4.954954999999999  0.060606066666666666  0  0.0001  6.427230730000571e-16  -5.298498704068378e-14  0  0  1.1348084452692029  -7.804624342106868e-07  0  0  -0  -0  0  0  
4.954954999999999  0.07070707777777778  0  0.0001  7.595631787779014e-16  -5.298368408375254e-14  0  0  1.3215928468654006  -2.0632189241937717e-07  0  0  -0  -0  0  0  
4.954954999999999  0.0808080888888889  0  0.0001  8.024291935854083e-16  -5.298139817807987e-14  0  0  1.5072979605067034  -7.844289100060693e-07  0  0  -0  -0  0  0  
4.954954999999999  0.09090909999999999  0  0.0001  7.099942842280034e-16  -5.29783787034363e-14  0  0  1.6917735120546602  -1.0282287780266208e-07  0  0  -0  -0  0  0  
4.954954999999999  0.10101011111111112  0  0.0001  9.575531522438689e-16  -5.297432338479574e-14  0  0  1.874870778115608  -7.278254227063512e-08  0  0  -0  -0  0  0  
4.954954999999999  0.11111112222222223  0  0.0001  9.430067070032996e-16  -5.2969689303638135e-14  0  0  2.0564427751485743  -4.5063020385639637e-07  0  0  -0  -0  0  0  
4.954954999999999  0.12121213333333333  0  0.0001  8.361207200050053e-16  -5.296396866998966e-14  0  0  2.2363444446477008  -2.2214823916773254e-07  0  0  -0  -0  0  0  
4.954954999999999  0.13131314444444445  0  0.0001  7.85826731376205e-16  -5.295747377183782e-14  0  0  2.41443283550148  -1.747364856355276e-07  0  0  -0  -0  0  0  
4.954954999999999  0.14141415555555556  0  0.0001  7.858919283421095e-16  -5.295007398925557e-14  0  0  2.590567283640734  -1.6876342429899836e-06  0  0  -0  -0  0  0  
