atol    1e-9
length    1.0
m_N    3
m_end    495.4955
m_start    0.4954955
mode    TE011
omega    4.954955e+00
phi_N    1
phi_end    0.0
phi_start    0.0
r_N    100
r_end    1.0000001
r_start    0.0
radius    1.0
rtol    1e-6
z_N    1
z_end    1e-4
z_start    1e-4

m    r    phi    z    Re[j_r]    error_Re[j_r]    Im[j_r]    error_Im[j_r]    Re[j_phi]    error_Re[j_phi]    Im[j_phi]    error_Im[j_phi]    Re[j_z]    error_Re[j_z]    Im[j_z]    error_Im[j_z]  
0.4954955  0.22222224444444447  0  0.0001  -2.049702293601281e-18  -3.091471396928269e-16  -1.808896777248061e-18  -2.788037250223175e-16  -0.0005478274806570299  -1.5960917551880116e-09  0.0005423704835323012  -8.825959481457988e-12  -0  -0  -0  -0  
0.4954955  0.23232325555555558  0  0.0001  2.995280664851359e-18  -3.080646575524799e-16  -7.0395413196899005e-19  -2.772521339196068e-16  -0.0005704207447260408  -1.667920132862175e-09  0.0005581692709723762  -1.2091333457632941e-11  -0  -0  -0  -0  
0.4954955  0.24242426666666667  0  0.0001  2.1206344820956957e-18  -3.068508394196576e-16  4.565881092953622e-20  -2.754670820935851e-16  -0.0005926970072198818  -1.7295850773806684e-08  0.0005728781392879834  -1.6287956208057895e-11  -0  -0  -0  -0  
0.4954955  0.2525252777777778  0  0.0001  -2.6344368100908577e-19  -3.0550681026933466e-16  5.177979839794289e-19  -2.7808342525975957e-16  -0.0006146407086943703  -3.3237672911633784e-09  0.0005864686916446006  -2.1601265454684974e-11  -0  -0  -0  -0  
0.4954955  0.2626262888888889  0  0.0001  -1.1334052028373736e-18  -3.040311438369205e-16  -9.571165476053903e-19  -2.8102352820962114e-16  -0.0006362361299626145  -1.6104865424708983e-09  0.0005989147459716228  -2.823397185923209e-11  -0  -0  -0  -0  
0.4954955  0.2727273  0  0.0001  9.53258583663978e-19  -3.040213864497669e-16  2.2336561259991e-18  -2.8370154225012503e-16  -0.0006574673957906463  -1.0489694482822635e-08  0.0006101923853517044  -3.6402990662315825e-11  -0  -0  -0  -0  
0.4954955  0.2828283111111111  0  0.0001  2.339222876500784e-18  -3.050418824022196e-16  -1.0712901692668847e-18  -2.86128272209301e-16  -0.0006783185550896821  -2.1099880585502002e-09  0.0006202800037747623  -4.6293465115681563e-11  -0  -0  -0  -0  
0.4954955  0.29292932222222223  0  0.0001  1.1878422149735777e-18  -3.059104028264482e-16  -5.483323540527299e-19  -2.882877004746564e-16  -0.0006987738710182977  -1.3877025438559528e-08  0.0006291583471662762  -5.7894952420963874e-11  -0  -0  -0  -0  
0.4954955  0.30303033333333335  0  0.0001  -2.586347985877525e-18  -3.0662911833185286e-16  5.437133522243604e-19  -2.9018786064598974e-16  -0.0007188154730961247  -9.165994348898478e-09  0.0006368105496099325  -7.143192149734044e-11  -0  -0  -0  -0  
0.4954955  0.31313134444444446  0  0.0001  4.342050015073055e-19  -3.0719608854283014e-16  -2.213760276781702e-18  -2.91818069950358e-16  -0.0007384286971465421  -7.869325497561295e-10  0.0006432221646911911  -8.706650359451292e-11  -0  -0  -0  -0  
0.4954955  0.3232323555555556  0  0.0001  6.915454335929937e-19  -3.075975786392319e-16  -7.197772667584451e-19  -2.931790260497965e-16  -0.0007575964701825782  -4.302402447790513e-09  0.0006483811919047207  -1.0476249252593684e-10  -0  -0  -0  -0  
0.4954955  0.3333333666666667  0  0.0001  -8.223270070262087e-19  -3.0783679999191144e-16  9.59686954360165e-19  -2.9427107515222565e-16  -0.0007763022404717158  -1.2935037095069734e-08  0.0006522780980727671  -1.2471154339672758e-10  -0  -0  -0  -0  
0.4954955  0.3434343777777778  0  0.0001  -2.403699877704069e-18  -3.0790268898649985e-16  6.207639222908114e-19  -2.9509070410835446e-16  -0.0007945293634232602  -1.1035824069950173e-08  0.000654905833735926  -1.468969232186973e-10  -0  -0  -0  -0  
0.4954955  0.35353538888888897  0  0.0001  -2.8542769578706085e-19  -3.078101194330107e-16  -1.5293966728713325e-18  -2.9564112717302776e-16  -0.0008122611890818092  -9.482000237190333e-09  0.0006562598444867011  -1.7108984005413084e-10  -0  -0  -0  -0  
0.4954955  0.36363639999999997  0  0.0001  -1.1529433507921448e-18  -3.0756130545722607e-16  -1.0205867992174118e-18  -2.9591771561377545e-16  -0.0008294810139511837  -9.99803484027249e-09  0.0006563380772286146  -1.966961291705171e-10  -0  -0  -0  -0  
0.4954955  0.37373741111111114  0  0.0001  -5.682302789009996e-20  -3.071393014966624e-16  -1.4306511843262532e-19  -2.959237081972447e-16  -0.000846172132256056  -1.524014938454838e-09  0.0006551409813491392  -2.2370064057440323e-10  -0  -0  -0  -0  
0.4954955  0.38383842222222225  0  0.0001  7.833695220641497e-19  -3.0655046655099553e-16  1.1419439537653416e-19  -2.956496965001183e-16  -0.0008623178635688713  -3.259776117592132e-10  0.0006526715048145493  -2.515893264263628e-10  -0  -0  -0  -0  
0.4954955  0.39393943333333337  0  0.0001  2.5986354105960664e-19  -3.057926766257096e-16  2.250010020581308e-18  -2.95115477668485e-16  -0.0008779018732555046  -1.1005308599488726e-09  0.0006489350851955725  -2.796740012220461e-10  -0  -0  -0  -0  
0.4954955  0.4040404444444445  0  0.0001  5.612389170296341e-19  -3.04869003522402e-16  -5.004243312614279e-19  -2.943104326000687e-16  -0.0008929066423029957  -9.358738338466991e-09  0.0006439396356496691  -3.0707084607227484e-10  -0  -0  -0  -0  
0.4954955  0.4141414555555556  0  0.0001  -1.27461634666943e-18  -3.0376747031507925e-16  -1.3217501641924628e-18  -2.932255849908686e-16  -0.0009073166238302788  -2.703956478180606e-09  0.0006376955258938906  -3.32681521837714e-10  -0  -0  -0  -0  
0.4954955  0.42424246666666665  0  0.0001  -1.3386528643329689e-18  -3.025175450537878e-16  -5.018749153300201e-19  -2.9320807160955594e-16  -0.0009211151310658159  -5.260527887728857e-10  0.0006302155582132929  -3.551796508777727e-10  -0  -0  -0  -0  
0.4954955  0.43434347777777776  0  0.0001  -9.92701842244416e-19  -3.0108065204141877e-16  -1.1476745462613103e-18  -2.960935909345086e-16  -0.0009342859464760147  -4.37945867011391e-09  0.0006215149385599425  -3.71919213016631e-10  -0  -0  -0  -0  
